Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Floodfest,"China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121131943/floodfest,3.0,-1,Sport,5.13a,1,100,41.78535,-111.64221
"Vulcan Crawl","China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110033576/vulcan-crawl,2.6,-1,Sport,5.13a,1,,41.78535,-111.64221
Train-Fest,"China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111963787/train-fest,3.0,-1,Sport,5.13a,1,200,41.78535,-111.64221
"Around the World","China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109428917/around-the-world,3.5,-1,Sport,5.13a,1,130,41.78535,-111.64221
"Secret Sharer","China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107532005/secret-sharer,3.3,-1,Sport,5.13b,1,,41.78535,-111.64221
Crimpfest,"China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108213061/crimpfest,3.3,-1,Sport,5.13b,1,60,41.78535,-111.64221
"Organ Grinder","China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109429029/organ-grinder,3.5,-1,Sport,5.13b,1,60,41.78535,-111.64221
"The Bassoon","China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/113322778/the-bassoon,2.3,-1,Sport,5.13b,1,50,41.78535,-111.64221
"Gravity Storm","Margaritaville > Right Hand Fork > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108073359/gravity-storm,2.0,-1,Sport,5.12+,1,,41.78242,-111.63575
"Gray Matter","Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107674619/gray-matter,3.6,-1,Sport,5.12b,1,70,41.66711,-111.62642
Sprayer,"Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107756890/sprayer,3.0,-1,Sport,5.12b,1,70,41.66711,-111.62642
Patsy,"Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107810123/patsy,2.8,-1,Sport,5.12b,1,,41.66711,-111.62642
Crankenstein,"Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107301616/crankenstein,3.5,-1,Sport,5.12b/c,1,70,41.66711,-111.62642
"Rain Dance","Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107720524/rain-dance,3.1,-1,Sport,5.12b/c,1,,41.66711,-111.62642
"Grey Hound","Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107301579/grey-hound,3.7,-1,Sport,5.12c,1,,41.66711,-111.62642
